,title,date,desc,content,keywords
0,Coronavirus Briefing: What Happened Today,2021-03-12T23:12:19Z,An optimistic view of the weeks ahead.,"What do you think the next few months look like in the U.S.?
What I think is going to happen is, two months from now, vaccinations are going to be everywhere. The place is just going to be flooded w… [+2846 chars]","['#going', '#think', '#months', '#look', '#U.S.']"
1,"Your N.B.A. Coronavirus Questions, Answered",2021-03-11T22:49:26Z,Can fans attend all games? Will players be vaccinated? Was All-Star weekend safe? Read on to find out.,"Why havent I seen Wayne Knight in the ads for Space Jam 2?
Im sorry, Mr. Knight. I cant answer that.
Recently, Gov. Greg Abbott, Republican of Texas, ended the states mask mandate and said that all… [+1110 chars]","['#going', '#think', '#months', '#chars', '#Knight']"
2,Coronavirus Briefing: What Happened Today,2021-03-11T23:32:45Z,"Israel’s reopening, and  vaccine doses in limbo.","How is the Green Passport system working, for example, at restaurants?
So to sit inside, you have to have the Green Passport, which you download as a government app on your phone and you have to put… [+1866 chars]","['#going', '#chars', '#think', '#months', '#Knight']"
3,Coronavirus Briefing: What Happened Today,2021-03-16T22:21:05Z,The U.S. political divide is affecting its vaccine rollout.,"Similar laborious efforts may have to be scaled up as the country strives for herd immunity, tries to get the economy back on track and seeks a return to a more normal way of life.
Vaccines vs. tryp… [+1331 chars]","['#chars', '#going', '#think', '#months', '#Knight']"
4,Coronavirus Briefing: What Happened Today,2021-03-09T23:04:24Z,People with underlying conditions are begging officials to add their condition to the vaccine priority list.,But medical ethicists say the list is misleading because it suggests that the risks for all medical conditions have been evaluated and ranked. Is a 50-year-old with Type 1 diabetes at higher risk tha… [+1300 chars],"['#chars', '#going', '#think', '#months', '#Knight']"
5,"As Coronavirus Variants Spread, the US Struggles to Keep Up",2021-02-19T12:00:00Z,"The nation is a sequencing superpower. But without a federal strategy or enough funding, scientists can’t coordinate to track an evolving threat fast enough.","Its not a unique quirk, but like many other Covid-19 tests, Helixs hunts for three snippets of the viruss genome. One of those snippets is on the S gene, which codes for the viruss infection-enabling… [+3806 chars]","['#chars', '#going', '#think', '#months', '#Knight']"
6,Coronavirus Briefing: What Happened Today,2021-02-24T22:05:31Z,Johnson & Johnson’s vaccine was found to provide strong protection against severe disease and death.,"The global vaccine-sharing program Covax, which aims to make vaccine access more equitable around the world, delivered its first shipment today: 600,000 doses provided by Indias Serum Institute arriv… [+1933 chars]","['#chars', '#going', '#think', '#months', '#Knight']"
7,Coronavirus Briefing: What Happened Today,2021-03-10T23:21:20Z,What the $1.9 trillion coronavirus relief plan means for the pandemic.,"Community health centers, which Abby said act as primary care clinics for low-income Americans or for those who dont have health insurance, will get nearly $8 billion. Around $200 million will go to … [+1874 chars]","['#chars', '#going', '#think', '#months', '#Knight']"
8,Coronavirus Briefing: What Happened Today,2021-03-15T22:25:20Z,Europe is struggling with a third wave.,"A year into the pandemic, The Times collected stories from readers about ways the pandemic upended their lives in the initial days. Here are a few moments when readers said they knew that things had … [+941 chars]","['#chars', '#going', '#said', '#think', '#months']"
9,Coronavirus Briefing: What Happened Today,2021-03-06T16:10:01Z,The next major flash point in the pandemic could be vaccine passports.,"During the summer, as some areas of the country were dealing with a terrifying surge of the virus, Rhode Island stood out as a bright spot.
By December, its sterling image had collapsed. The small s… [+2124 chars]","['#chars', '#going', '#said', '#think', '#months']"
10,"Coronavirus, Texas, Mars: Your Weekend Briefing",2021-02-21T11:03:38Z,Here’s what you need to know about the week’s top stories.,"5. Erik Prince, a Trump ally and former head of the of the security contractor Blackwater, violated an arms embargo by sending weapons to a militia commander in Libya, a U.N. report said.
The confid… [+713 chars]","['#chars', '#said', '#going', '#think', '#months']"
11,I.O.C. Will Buy Coronavirus Vaccines From China,2021-03-11T15:43:05Z,The agreement with a powerful Olympic partner may help reassure a skeptical Japanese population fearful of thousands of visitors to this summer’s Games.,"In what amounts to a public relations coup for China and a solution to a problem for the International Olympic Committee, the I.O.C. president Thomas Bach announced on Thursday that China has agreed … [+1537 chars]","['#chars', '#said', '#going', '#think', '#months']"
12,Assessing Claims in the Coronavirus Stimulus Debate,2021-02-27T10:00:11Z,"Lawmakers have made an array of misleading claims about “Pelosi’s subway,” unauthorized immigrants receiving checks, school funding and the minimum wage as they debate the $1.9 trillion relief bill.","A spokeswoman for the House transportation committee said that the BART extension was not receiving special funding, but rather simply being funded proportionately to other similar projects around th… [+1751 chars]","['#chars', '#said', '#going', '#think', '#months']"
13,Biden to Visit Coronavirus Vaccine Manufacturing Site,2021-02-19T14:05:16Z,"President Biden is visiting a Pfizer production site in Michigan after he speaks at his first major international event as president, the Munich Security Conference.","LiveUpdated Feb. 19, 2021, 8:33 a.m. ET
Feb. 19, 2021, 8:33 a.m. ET
President Biden is visiting a Pfizer production site in Michigan after he speaks at his first major international event as presid… [+11314 chars]","['#chars', '#said', '#going', '#think', '#months']"
